column_name,field_id,panel,modality,metric,region,effect_allele,other_allele,n,beta_per_A,se,t,p,aa_vs_gg_additive_2beta,status,bonferroni,fdr_bh
dMRI_TBSS_L3_superior_cerebellar_peduncle_left,25309.0,primary,dMRI_TBSS,L3,superior cerebellar peduncle (left),A,G,36329,0.027176953457482465,0.007101299509175856,3.8270394626175253,0.000129911070740519,0.05435390691496493,ok,0.07989530850541918,0.07989530850541918
dMRI_TBSS_MD_superior_cerebellar_peduncle_left,25117.0,primary,dMRI_TBSS,MD,superior cerebellar peduncle (left),A,G,36338,0.022629008912426203,0.0071066266738799835,3.1842124190367116,0.0014527096342108832,0.045258017824852406,ok,0.8934164250396932,0.3045162815650586
dMRI_TBSS_ISOVF_superior_cerebellar_peduncle_left,25453.0,primary,dMRI_TBSS,ISOVF,superior cerebellar peduncle (left),A,G,36338,0.022807984302518517,0.007177389524454497,3.177754840364748,0.001485445275927115,0.045615968605037034,ok,0.9135488446951758,0.3045162815650586
dMRI_TBSS_L2_superior_cerebellar_peduncle_left,25261.0,primary,dMRI_TBSS,L2,superior cerebellar peduncle (left),A,G,36325,0.021471304201496774,0.0070857679567798235,3.030201430877022,0.0024456270589435624,0.04294260840299355,ok,1.0,0.3217938038757172
dMRI_TBSS_MD_superior_cerebellar_peduncle_right,25116.0,primary,dMRI_TBSS,MD,superior cerebellar peduncle (right),A,G,36335,0.021406626943616672,0.0071880892262644585,2.978069173849331,0.002902620948336463,0.042813253887233345,ok,1.0,0.3217938038757172
dMRI_TBSS_L3_superior_cerebellar_peduncle_right,25308.0,primary,dMRI_TBSS,L3,superior cerebellar peduncle (right),A,G,36334,0.020880407646010908,0.007182057657381601,2.9073015898933043,0.0036478214475017486,0.041760815292021816,ok,1.0,0.3217938038757172
dMRI_TBSS_L1_tapetum_right,25246.0,primary,dMRI_TBSS,L1,tapetum (right),A,G,36345,0.020160082006061453,0.006937331484628331,2.906028355532954,0.00366269370265044,0.040320164012122905,ok,1.0,0.3217938038757172
dMRI_weighted_mean_ISOVF_inferior_longitudinal_fasciculus_right,25719.0,primary,dMRI_weighted_mean,ISOVF,inferior longitudinal fasciculus (right),A,G,36334,0.01884272205782082,0.006898425614849338,2.7314525240745597,0.006308628342985376,0.03768544411564164,ok,1.0,0.4342124366097628
dMRI_TBSS_ISOVF_superior_cerebellar_peduncle_right,25452.0,primary,dMRI_TBSS,ISOVF,superior cerebellar peduncle (right),A,G,36342,0.019590612234460635,0.007192802275617225,2.723641146215094,0.006459748165772734,0.03918122446892127,ok,1.0,0.4342124366097628
dMRI_weighted_mean_OD_posterior_thalamic_radiation_left,25696.0,primary,dMRI_weighted_mean,OD,posterior thalamic radiation (left),A,G,36326,0.018936912773436912,0.007028935132746172,2.694136795375198,0.0070603648229229715,0.037873825546873824,ok,1.0,0.4342124366097628
dMRI_TBSS_L1_superior_fronto_occipital_fasciculus_lef,25243.0,primary,dMRI_TBSS,L1,superior fronto-occipital fasciculus (left),A,G,36305,0.01640749261982485,0.00664954974126344,2.467459190207872,0.013612155085842126,0.0328149852396497,ok,1.0,0.6555366318040167
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,25219.0,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),A,G,36339,0.01745525903447622,0.007114921759765904,2.453331129118493,0.014158664179347242,0.03491051806895244,ok,1.0,0.6555366318040167
dMRI_TBSS_OD_superior_fronto_occipital_fasciculus_lef,25435.0,primary,dMRI_TBSS,OD,superior fronto-occipital fasciculus (left),A,G,36327,-0.017929088816227894,0.0073382210821990295,-2.443247295958426,0.01456049065740274,-0.03585817763245579,ok,1.0,0.6555366318040167
dMRI_TBSS_L1_superior_fronto_occipital_fasciculus_rig,25242.0,primary,dMRI_TBSS,L1,superior fronto-occipital fasciculus (right),A,G,36305,0.01631832892672905,0.0067066022297782475,2.4331738140475068,0.01497191189057753,0.0326366578534581,ok,1.0,0.6555366318040167
dMRI_TBSS_FA_cerebral_peduncle_left,25071.0,primary,dMRI_TBSS,FA,cerebral peduncle (left),A,G,36337,0.016554654710317345,0.00699183933550077,2.367710972170339,0.01790372252356391,0.03310930942063469,ok,1.0,0.6555366318040167
dMRI_TBSS_L2_cerebral_peduncle_left,25263.0,primary,dMRI_TBSS,L2,cerebral peduncle (left),A,G,36334,-0.01687487921988706,0.007166384301468441,-2.3547270855163713,0.018541607868568805,-0.03374975843977412,ok,1.0,0.6555366318040167
