column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,model,contrast,n,beta,se,stat,p,vcov_type,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
dMRI_TBSS_L1_corticospinal_tract_left,25207.0,25063.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,corticospinal tract (left),basket,A,G,additive_dosage,per_A_allele,32563,0.0034729114086042364,0.007532043250305967,0.4610848999656447,0.6447408281375688,nonrobust,ok,0.6447408281375688,0.19061482727079257,170,85.0,False,False,False
dMRI_TBSS_L1_corticospinal_tract_left,25207.0,25063.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,corticospinal tract (left),basket,A,G,additive_dosage,per_A_allele,32563,0.0034729114086042364,0.007630490848219338,0.45513604271141744,0.6490113694213215,HC3,ok,0.6490113694213215,0.18774769513538908,170,86.0,False,False,False
dMRI_TBSS_L1_cerebral_peduncle_right,25214.0,25070.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,cerebral peduncle (right),basket,A,G,additive_dosage,per_A_allele,32563,0.0018567228383242873,0.006933323368794559,0.2677969480957731,0.7888573458053432,nonrobust,ok,0.7888573458053432,0.1030015259806783,170,105.0,False,False,False
dMRI_TBSS_L1_cerebral_peduncle_right,25214.0,25070.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,cerebral peduncle (right),basket,A,G,additive_dosage,per_A_allele,32563,0.0018567228383242873,0.006967827574480541,0.2664708359208656,0.7898766172312405,HC3,ok,0.7898766172312405,0.10244074243170967,170,106.0,False,False,False
dMRI_TBSS_L1_posterior_thalamic_radiation_right,25228.0,25084.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior thalamic radiation (right),basket,A,G,additive_dosage,per_A_allele,32563,0.0016900140460234178,0.006530351576412907,0.25879373051331717,0.7957960597843566,nonrobust,ok,0.7957960597843566,0.09919821550145229,170,108.0,False,False,False
dMRI_TBSS_L1_posterior_thalamic_radiation_right,25228.0,25084.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior thalamic radiation (right),basket,A,G,additive_dosage,per_A_allele,32563,0.0016900140460234178,0.006570107649981551,0.2572277557778164,0.7970029586926249,HC3,ok,0.7970029586926249,0.09854006638118298,170,110.0,False,False,False
dMRI_TBSS_L1_body_of_corpus_callosum,25203.0,25059.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,body of corpus callosum,basket,A,G,additive_dosage,per_A_allele,32563,-0.001233515263778845,0.006698264061277702,-0.18415446935120536,0.8538934434743713,nonrobust,ok,0.8538934434743713,0.06859632111239586,170,124.0,False,False,False
dMRI_TBSS_L1_anterior_corona_radiata_left,25223.0,25079.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,anterior corona radiata (left),basket,A,G,additive_dosage,per_A_allele,32560,-0.0009095664620063851,0.006525537529183613,-0.13938567634292306,0.8891462676350754,nonrobust,ok,0.8891462676350754,0.05102679020907477,170,131.0,False,False,False
dMRI_TBSS_L1_anterior_corona_radiata_left,25223.0,25079.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,anterior corona radiata (left),basket,A,G,additive_dosage,per_A_allele,32560,-0.0009095664620063851,0.006565288887958337,-0.13854172718502272,0.889812294030251,HC3,ok,0.889812294030251,0.050701598146736276,170,132.0,False,False,False
dMRI_TBSS_L1_posterior_thalamic_radiation_left,25229.0,25085.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior thalamic radiation (left),basket,A,G,additive_dosage,per_A_allele,32563,-0.00038854718070659454,0.006270103575560449,-0.061968223654401834,0.9505885241670419,nonrobust,ok,0.9505885241670419,0.022007432962586258,170,152.0,False,False,False
