metric,modality,region,column_name,n,beta_per_A,se,t,p,aa_vs_gg_additive_2beta,aa_vs_gg_beta_genotypic,aa_vs_gg_p_genotypic,wald_p,field_id
L1,dMRI_weighted_mean,superior longitudinal fasciculus (left),dMRI_weighted_mean_L1_superior_longitudinal_fasciculus_left,32557,0.0070066650295081,0.006185525027286,1.132751868046747,0.2573269570029651,0.0140133300590163,0.0130285388906278,0.2931322592845415,0.2160024445267052,25590.0
L1,dMRI_weighted_mean,forceps minor,dMRI_weighted_mean_L1_forceps_minor,32564,-0.0073315524801087,0.0067312383058393,-1.0891833191745144,0.2760812543571617,-0.0146631049602175,-0.0145297920626576,0.2813294141746198,0.5450004420862675,25580.0
L1,dMRI_TBSS,splenium of corpus callosum,dMRI_TBSS_L1_splenium_of_corpus_callosum,32564,-0.0066475431201447,0.0066839881880147,-0.9945474069006648,0.319963956618992,-0.0132950862402894,-0.0131462074433656,0.3262773658923221,0.5992856031349632,25204.0
L1,dMRI_TBSS,genu of corpus callosum,dMRI_TBSS_L1_genu_of_corpus_callosum,32566,-0.0064310250674583,0.0065837108153162,-0.9768085579483984,0.328671321050737,-0.0128620501349166,-0.0131205269123323,0.3199088510701598,0.5878208019004498,25202.0
L1,dMRI_TBSS,posterior corona radiata (left),dMRI_TBSS_L1_posterior_corona_radiata_left,32537,0.0053476099594268,0.0056848457911596,0.9406781038357752,0.3468769488024383,0.0106952199188536,0.0099218241886778,0.3836974854272866,0.334690150009635,25227.0
L1,dMRI_weighted_mean,superior thalamic radiation (right),dMRI_weighted_mean_L1_superior_thalamic_radiation_right,32558,0.0046258533722515,0.0053663954771678,0.8620038146522879,0.3886918783198343,0.009251706744503,0.0087907326646873,0.4135916805736986,0.5316522791220469,25593.0
L1,dMRI_weighted_mean,cingulate gyrus part of cingulum (right),dMRI_weighted_mean_L1_cingulate_gyrus_part_of_cingulum_right,32563,0.0061552399309199,0.0071537686630406,0.8604192029189448,0.3895644496667531,0.0123104798618399,0.0131793176168404,0.3578321005758517,0.4105626787626977,25574.0
L1,dMRI_TBSS,superior corona radiata (right),dMRI_TBSS_L1_superior_corona_radiata_right,32546,0.0045563378784375,0.0058389745001239,0.7803318679231837,0.4352013338617322,0.009112675756875,0.0095884404806803,0.4124372359402649,0.5827536971802566,25224.0
L1,dMRI_TBSS,corticospinal tract (right),dMRI_TBSS_L1_corticospinal_tract_right,32560,0.005303911147188,0.0074853454159506,0.7085726646476241,0.4785948659154725,0.010607822294376,0.010767264941761,0.4727967412116818,0.7656144953959105,25206.0
L1,dMRI_TBSS,posterior limb of internal capsule (right),dMRI_TBSS_L1_posterior_limb_of_internal_capsule_right,32564,0.004393225595105,0.0066649896541422,0.6591496495984285,0.509804418097063,0.00878645119021,0.0086120277296504,0.5189897041635722,0.7855792134601711,25218.0
L1,dMRI_TBSS,anterior corona radiata (right),dMRI_TBSS_L1_anterior_corona_radiata_right,32560,-0.0041707350095924,0.0064784093137712,-0.6437899810879011,0.5197162451815026,-0.0083414700191849,-0.008256378402709,0.5247256410890335,0.8079125623406896,25222.0
L1,dMRI_TBSS,posterior corona radiata (right),dMRI_TBSS_L1_posterior_corona_radiata_right,32540,-0.0033438025304259,0.0054557743269656,-0.6128923833778978,0.5399518580006784,-0.0066876050608518,-0.0069946175780997,0.52224630652368,0.7407846223455165,25226.0
L1,dMRI_TBSS,superior corona radiata (left),dMRI_TBSS_L1_superior_corona_radiata_left,32548,0.0034931986152497,0.0058045319478596,0.6018053904480334,0.5473079515737744,0.0069863972304994,0.0068847839126989,0.553859847549132,0.8254239072490462,25225.0
L1,dMRI_TBSS,cerebral peduncle (left),dMRI_TBSS_L1_cerebral_peduncle_left,32563,0.0041934901101653,0.007194335770889,0.5828877388700299,0.5599729819840378,0.0083869802203306,0.008793667594858,0.5418242560004294,0.7539498960112987,25215.0
L1,dMRI_TBSS,corticospinal tract (left),dMRI_TBSS_L1_corticospinal_tract_left,32563,0.0034729114086042,0.0075320432503059,0.4610848999656447,0.6447408281375688,0.0069458228172084,0.0063199422020196,0.6753710368657552,0.7048804880147626,25207.0
L1,dMRI_weighted_mean,cingulate gyrus part of cingulum (left),dMRI_weighted_mean_L1_cingulate_gyrus_part_of_cingulum_left,32564,0.0032544019276849,0.0071407558216465,0.4557503447771601,0.6485726067414546,0.0065088038553698,0.0079481004029472,0.5785135775966641,0.2151968409876008,25573.0
L1,dMRI_weighted_mean,parahippocampal part of cingulum (left),dMRI_weighted_mean_L1_parahippocampal_part_of_cingulum_left,32528,0.0025609550403567,0.0070884391963469,0.3612861688475084,0.7178879195924328,0.0051219100807134,0.005333176708182,0.707274575755764,0.9077426686936432,25575.0
L1,dMRI_TBSS,cerebral peduncle (right),dMRI_TBSS_L1_cerebral_peduncle_right,32563,0.0018567228383242,0.0069333233687945,0.2677969480957731,0.7888573458053432,0.0037134456766485,0.0032329034538674,0.8159745642375871,0.8145998356479374,25214.0
L1,dMRI_TBSS,posterior thalamic radiation (right),dMRI_TBSS_L1_posterior_thalamic_radiation_right,32563,0.0016900140460234,0.0065303515764129,0.2587937305133171,0.7957960597843566,0.0033800280920468,0.0033343398041539,0.7988484906825133,0.965402721983584,25228.0
L1,dMRI_weighted_mean,parahippocampal part of cingulum (right),dMRI_weighted_mean_L1_parahippocampal_part_of_cingulum_right,32536,-0.0017804475543416,0.0068907182475996,-0.2583834500796499,0.7961126509147283,-0.0035608951086832,-0.0037182542851573,0.7876845963986965,0.9495445682837972,25576.0
L1,dMRI_weighted_mean,posterior thalamic radiation (right),dMRI_weighted_mean_L1_posterior_thalamic_radiation_right,32557,0.0011729552231863,0.0062158033218507,0.1887053309848181,0.8503249698874901,0.0023459104463727,0.0014863375274131,0.9049982775318542,0.5001611257165656,25589.0
L1,dMRI_TBSS,body of corpus callosum,dMRI_TBSS_L1_body_of_corpus_callosum,32563,-0.0012335152637788,0.0066982640612777,-0.1841544693512053,0.8538934434743713,-0.0024670305275576,-0.0025815900088352,0.8474596459998214,0.9730986789476402,25203.0
L1,dMRI_TBSS,anterior corona radiata (left),dMRI_TBSS_L1_anterior_corona_radiata_left,32560,-0.0009095664620063,0.0065255375291836,-0.139385676342923,0.8891462676350754,-0.0018191329240127,-0.0016844785634775,0.8974873720482823,0.9756385299857144,25223.0
L1,dMRI_weighted_mean,uncinate fasciculus (right),dMRI_weighted_mean_L1_uncinate_fasciculus_right,32560,0.0007081088747402,0.0066251901158215,0.1068812913080352,0.9148838255253608,0.0014162177494804,0.0009730744218771,0.9415622874215,0.8490672873155014,25595.0
L1,dMRI_TBSS,posterior thalamic radiation (left),dMRI_TBSS_L1_posterior_thalamic_radiation_left,32563,-0.0003885471807065,0.0062701035755604,-0.0619682236544018,0.950588524167042,-0.0007770943614131,-0.000623373000619,0.9604246331054928,0.977202137132608,25229.0
RD,dMRI_TBSS,cerebral peduncle (left),dMRI_TBSS_RD_cerebral_peduncle_left,32558,-0.0259281529830253,0.0070040141756721,-3.7018989871672,0.000214350781937,-0.0518563059660506,-0.0524098680583183,0.0001882036479377,0.0008480483618908,
RD,dMRI_weighted_mean,uncinate fasciculus (right),dMRI_weighted_mean_RD_uncinate_fasciculus_right,32555,-0.0112085602059649,0.0067729802423098,-1.6548933859199506,0.0979559340386279,-0.0224171204119299,-0.0213582509248048,0.1155069621392126,0.1072941712023135,
RD,dMRI_TBSS,splenium of corpus callosum,dMRI_TBSS_RD_splenium_of_corpus_callosum,32534,-0.0116352122487996,0.0071568483969581,-1.6257452447567444,0.1040137157462084,-0.0232704244975993,-0.0229916002222367,0.1088572841964124,0.2528785897776329,
RD,dMRI_TBSS,corticospinal tract (left),dMRI_TBSS_RD_corticospinal_tract_left,32557,-0.0113601387149395,0.0075382554855915,-1.5069983680777417,0.1318209474495468,-0.0227202774298791,-0.0232461268494581,0.1237823398401922,0.270696286618248,
RD,dMRI_TBSS,cerebral peduncle (right),dMRI_TBSS_RD_cerebral_peduncle_right,32557,-0.0102511339769956,0.0069445181025175,-1.4761476355399432,0.1399141036784568,-0.0205022679539913,-0.0216970854978051,0.1189007994690831,0.1181157685913271,
RD,dMRI_TBSS,posterior limb of internal capsule (right),dMRI_TBSS_RD_posterior_limb_of_internal_capsule_right,32560,-0.0098171246684875,0.0069613260254596,-1.4102377381239362,0.1584792155306444,-0.0196342493369751,-0.0193000741067202,0.1664398046125719,0.3410984567260908,
RD,dMRI_weighted_mean,posterior thalamic radiation (left),dMRI_weighted_mean_RD_posterior_thalamic_radiation_left,32547,-0.0080049361594612,0.0060393735835163,-1.3254580212275004,0.1850287500114075,-0.0160098723189224,-0.0158570289984849,0.1900418275801001,0.4060951210548097,
RD,dMRI_weighted_mean,forceps minor,dMRI_weighted_mean_RD_forceps_minor,32562,-0.0084646888671794,0.006718155807497,-1.2599720979578088,0.2076886155148462,-0.0169293777343589,-0.0177096685922276,0.1882805797998149,0.2811973131734975,
RD,dMRI_weighted_mean,superior thalamic radiation (left),dMRI_weighted_mean_RD_superior_thalamic_radiation_left,32554,0.0076883940669096,0.0062394726965751,1.2322185608937477,0.2178765067604808,0.0153767881338193,0.0148353779284114,0.2353431267354858,0.358592304795448,
RD,dMRI_TBSS,posterior limb of internal capsule (left),dMRI_TBSS_RD_posterior_limb_of_internal_capsule_left,32560,-0.0084617429749779,0.0069542423865889,-1.2167742371615105,0.2236990984353779,-0.0169234859499559,-0.0170143747299633,0.222049211282079,0.4741406030177313,
RD,dMRI_TBSS,body of corpus callosum,dMRI_TBSS_RD_body_of_corpus_callosum,32555,-0.0077753414118736,0.0065450585621524,-1.1879712515997127,0.234853554270799,-0.0155506828237472,-0.0166818699712432,0.2033305753082299,0.1730128025307059,
RD,dMRI_weighted_mean,parahippocampal part of cingulum (left),dMRI_weighted_mean_RD_parahippocampal_part_of_cingulum_left,32521,-0.0081213895925833,0.0074121458311845,-1.0956866982318183,0.2732241617168998,-0.0162427791851666,-0.0166474931870617,0.262293360467026,0.4934363032978807,
RD,dMRI_weighted_mean,cingulate gyrus part of cingulum (right),dMRI_weighted_mean_RD_cingulate_gyrus_part_of_cingulum_right,32560,-0.0075409220428991,0.007057336192377,-1.0685224335840002,0.2852929765458495,-0.0150818440857982,-0.0159957632217134,0.2579484331181552,0.3126358078862533,
RD,dMRI_weighted_mean,superior thalamic radiation (right),dMRI_weighted_mean_RD_superior_thalamic_radiation_right,32550,0.0059998122969347,0.0060519866062825,0.991378978054304,0.3215080594146449,0.0119996245938695,0.0113763751656112,0.3481331198454437,0.4201463910662691,
RD,dMRI_TBSS,posterior thalamic radiation (right),dMRI_TBSS_RD_posterior_thalamic_radiation_right,32546,0.0056124275005361,0.0061791901586554,0.9082788126652136,0.3637377764807084,0.0112248550010723,0.0107069692925323,0.3871351064398192,0.5166390385436264,
RD,dMRI_TBSS,posterior thalamic radiation (left),dMRI_TBSS_RD_posterior_thalamic_radiation_left,32550,-0.0054245934670362,0.0059855235348167,-0.9062855463657196,0.36479155953101,-0.0108491869340725,-0.0103505662351973,0.3880899774112513,0.5192355928269592,
RD,dMRI_weighted_mean,parahippocampal part of cingulum (right),dMRI_weighted_mean_RD_parahippocampal_part_of_cingulum_right,32532,-0.0061562260213614,0.0074506203950213,-0.8262702560279576,0.4086569678564344,-0.0123124520427228,-0.0124088094534689,0.4058344763372137,0.706613860194398,
RD,dMRI_weighted_mean,superior longitudinal fasciculus (right),dMRI_weighted_mean_RD_superior_longitudinal_fasciculus_right,32546,0.0048111597011346,0.0065106528952302,0.7389673168814398,0.4599322659519145,0.0096223194022693,0.0091083404839582,0.4850248773818708,0.6110101511456963,
RD,dMRI_TBSS,genu of corpus callosum,dMRI_TBSS_RD_genu_of_corpus_callosum,32560,-0.0043770374490761,0.0062443518491248,-0.7009594518107796,0.4833334172196759,-0.0087540748981523,-0.009612653078246,0.4422898789663135,0.403432619182082,
