column_name,field_id,family,panel,modality,metric,region,source,effect_allele,other_allele,n,beta_per_A,se,t,p,vcov_type,aa_vs_gg_additive_2beta,status,bonferroni,fdr_bh,family_bonferroni,family_fdr_bh
demyelination_like__tbss__anterior_limb_of_internal_capsule_left,,secondary,secondary,dMRI_composite_tbss,demyelination_like,anterior limb of internal capsule (left),composite,A,G,36352,0.007048253777506383,0.010904516621504327,0.6463609550199434,0.5180497046533197,nonrobust,0.014096507555012766,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__cingulate_gyrus_part_of_cingulum_right,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,cingulate gyrus part of cingulum (right),composite,A,G,36351,0.006918261006877355,0.010977117086638849,0.6302438930252587,0.5285389907523108,nonrobust,0.01383652201375471,ok,1.0,0.97993985852996,1.0,0.9770828910123799
free_water_like__tbss__superior_corona_radiata_left,,secondary,secondary,dMRI_composite_tbss,free_water_like,superior corona radiata (left),composite,A,G,36352,0.007997174089284565,0.012788500506526634,0.6253410308114851,0.5317511849008982,nonrobust,0.01599434817856913,ok,1.0,0.9805949269946671,1.0,0.9777360496564903
axonal_loss_like__tbss__anterior_corona_radiata_left,,secondary,secondary,dMRI_composite_tbss,axonal_loss_like,anterior corona radiata (left),composite,A,G,36352,0.0039113634939868976,0.006314018717611077,0.6194729013199332,0.5356087543042157,nonrobust,0.007822726987973795,ok,1.0,0.9824267525473047,1.0,0.9795625346098491
free_water_like__tbss__cingulum_cingulate_gyrus_right,,secondary,secondary,dMRI_composite_tbss,free_water_like,cingulum cingulate gyrus (right),composite,A,G,36352,-0.007050530185910901,0.011746585779733342,-0.6002195291567483,0.5483636849602693,nonrobust,-0.014101060371821803,ok,1.0,0.990544345607223,1.0,0.9889461508626884
free_water_like__wm__cingulate_gyrus_part_of_cingulum_left,,secondary,secondary,dMRI_composite_wm,free_water_like,cingulate gyrus part of cingulum (left),composite,A,G,36351,-0.007096183390687584,0.011939701289380827,-0.5943350858366055,0.5522917183037572,nonrobust,-0.014192366781375167,ok,1.0,0.990544345607223,1.0,0.9889461508626884
axonal_loss_like__wm__inferior_fronto_occipital_fasciculus_lef,,secondary,secondary,dMRI_composite_wm,axonal_loss_like,inferior fronto-occipital fasciculus (left),composite,A,G,36351,-0.004961495083274567,0.008402803535893903,-0.5904571089971051,0.5548879067574741,nonrobust,-0.009922990166549133,ok,1.0,0.990544345607223,1.0,0.9889461508626884
axonal_loss_like__tbss__medial_lemniscus_left,,secondary,secondary,dMRI_composite_tbss,axonal_loss_like,medial lemniscus (left),composite,A,G,36352,-0.004330782946327437,0.007466267715366039,-0.5800465656240023,0.5618868144633031,nonrobust,-0.008661565892654873,ok,1.0,0.990544345607223,1.0,0.9889461508626884
demyelination_like__tbss__inferior_cerebellar_peduncle_left,,secondary,secondary,dMRI_composite_tbss,demyelination_like,inferior cerebellar peduncle (left),composite,A,G,36352,-0.00564327868585688,0.009785385330245188,-0.5767047995968371,0.5641424636571055,nonrobust,-0.01128655737171376,ok,1.0,0.990544345607223,1.0,0.9889461508626884
free_water_like__wm__posterior_thalamic_radiation_left,,secondary,secondary,dMRI_composite_wm,free_water_like,posterior thalamic radiation (left),composite,A,G,36351,0.007994709119807226,0.013885999108110725,0.5757388472780159,0.5647952805985035,nonrobust,0.01598941823961445,ok,1.0,0.990544345607223,1.0,0.9889461508626884
tract_geometry_like__wm__inferior_longitudinal_fasciculus_left,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,inferior longitudinal fasciculus (left),composite,A,G,36351,-0.005197961662411619,0.009085028941196638,-0.5721458562273954,0.5672267061230722,nonrobust,-0.010395923324823237,ok,1.0,0.990544345607223,1.0,0.9889461508626884
tract_geometry_like__tbss__external_capsule_left,,secondary,secondary,dMRI_composite_tbss,tract_geometry_like,external capsule (left),composite,A,G,36352,0.0058197189147767255,0.010265345679462464,0.5669286837967905,0.5707661387991139,nonrobust,0.011639437829553451,ok,1.0,0.990544345607223,1.0,0.9889461508626884
demyelination_like__tbss__cingulum_hippocampus_left,,secondary,secondary,dMRI_composite_tbss,demyelination_like,cingulum hippocampus (left),composite,A,G,36352,-0.005567840419775491,0.009905714385205188,-0.562083682534943,0.5740624739801015,nonrobust,-0.011135680839550983,ok,1.0,0.990544345607223,1.0,0.9889461508626884
free_water_like__tbss__splenium_of_corpus_callosum,,secondary,secondary,dMRI_composite_tbss,free_water_like,splenium of corpus callosum,composite,A,G,36352,-0.007373741667946154,0.01327586795235982,-0.5554244509215273,0.5786077930029261,nonrobust,-0.014747483335892307,ok,1.0,0.990544345607223,1.0,0.9889461508626884
free_water_like__tbss__sagittal_stratum_left,,secondary,secondary,dMRI_composite_tbss,free_water_like,sagittal stratum (left),composite,A,G,36352,0.006881405988736471,0.012595410139760128,0.5463423510929453,0.5848339855025817,nonrobust,0.013762811977472943,ok,1.0,0.990544345607223,1.0,0.9889461508626884
demyelination_like__tbss__superior_longitudinal_fasciculus_right,,secondary,secondary,dMRI_composite_tbss,demyelination_like,superior longitudinal fasciculus (right),composite,A,G,36352,0.006043354698815747,0.011119594374620527,0.5434869740041202,0.5867978927142354,nonrobust,0.012086709397631495,ok,1.0,0.990544345607223,1.0,0.9889461508626884
demyelination_like__tbss__tapetum_right,,secondary,secondary,dMRI_composite_tbss,demyelination_like,tapetum (right),composite,A,G,36352,0.006271915059852812,0.011594083117398965,0.5409582626193785,0.5885396687076465,nonrobust,0.012543830119705624,ok,1.0,0.990544345607223,1.0,0.9889461508626884
free_water_like__tbss__superior_corona_radiata_right,,secondary,secondary,dMRI_composite_tbss,free_water_like,superior corona radiata (right),composite,A,G,36352,0.006988885383242296,0.01299866366363146,0.5376618369468449,0.5908138249663133,nonrobust,0.013977770766484592,ok,1.0,0.990544345607223,1.0,0.9889461508626884
