r2,r2_adj,cond_number,bp_p,jb_p,n_studres_gt4,diagnostic_status,column_name,family,analysis_tier
0.12236840453944187,0.1070690065492832,2.7314356808900716e+38,0.00114020632649213,0.0,44,ok,demyelination_like__tbss__corticospinal_tract_left,secondary_composite,secondary_composite
0.2161454687371689,0.20248084852270865,2.7314356808900716e+38,3.2333146765228754e-17,0.0,37,ok,demyelination_like__wm__corticospinal_tract_left,secondary_composite,secondary_composite
0.25090520720196907,0.23784653950284385,2.7314356808900716e+38,9.531449374357316e-29,0.0,35,ok,demyelination_like__wm__corticospinal_tract_right,secondary_composite,secondary_composite
0.15216073888672133,0.13738069865737312,2.7314356808900716e+38,5.347240044537584e-24,0.0,50,ok,demyelination_like__tbss__corticospinal_tract_right,secondary_composite,secondary_composite
0.3578303056136738,0.34663562007312054,2.7314356808900716e+38,5.802200183488596e-226,0.0,156,ok,demyelination_like__tbss__external_capsule_left,secondary_composite,secondary_composite
0.35846399572193244,0.34728035704571136,2.7314356808900716e+38,1.186162558236537e-72,0.0,130,ok,demyelination_like__tbss__external_capsule_right,secondary_composite,secondary_composite
0.16960912165922204,0.15513325205648054,2.7314356808900716e+38,2.2512860065908437e-29,0.0,53,ok,demyelination_like__wm__forceps_major,secondary_composite,secondary_composite
0.3044466156660147,0.29232131376784976,2.7314356808900716e+38,5.536272490511495e-44,2.39108187364324e-224,32,ok,demyelination_like__wm__forceps_minor,secondary_composite,secondary_composite
0.6526625258191114,0.646607531580212,2.7314356808900716e+38,0.0,0.0,82,ok,demyelination_like__tbss__fornix,secondary_composite,secondary_composite
0.47113976865526896,0.46192036132950565,2.7314356808900716e+38,0.0,0.0,93,ok,demyelination_like__tbss__fornix_cres_stria_terminalis_left,secondary_composite,secondary_composite
0.4136374268276135,0.4034156043454932,2.7314356808900716e+38,3.862294645883986e-92,0.0,48,ok,demyelination_like__tbss__genu_of_corpus_callosum,secondary_composite,secondary_composite
0.49785167588920387,0.4890979264795434,2.7314356808900716e+38,0.0,0.0,90,ok,demyelination_like__tbss__fornix_cres_stria_terminalis_right,secondary_composite,secondary_composite
0.2252939183555276,0.21178877937718987,2.7314356808900716e+38,6.989504346562429e-45,0.0,162,ok,demyelination_like__tbss__inferior_cerebellar_peduncle_left,secondary_composite,secondary_composite
0.23886779958205684,0.2255992886059811,2.7314356808900716e+38,1.3448019578593776e-47,0.0,144,ok,demyelination_like__tbss__inferior_cerebellar_peduncle_right,secondary_composite,secondary_composite
0.38648917033431496,0.3757940832352662,2.7314356808900716e+38,1.6622067584303444e-117,0.0,47,ok,demyelination_like__wm__inferior_fronto_occipital_fasciculus_lef,secondary_composite,secondary_composite
0.35359592308167787,0.342327421256553,2.7314356808900716e+38,2.420458102072931e-132,0.0,34,ok,demyelination_like__wm__inferior_fronto_occipital_fasciculus_rig,secondary_composite,secondary_composite
0.38263888237810206,0.3718766747604627,2.7314356808900716e+38,3.44117415229124e-47,0.0,51,ok,demyelination_like__wm__inferior_longitudinal_fasciculus_left,secondary_composite,secondary_composite
0.3593497731271148,0.34818157585150267,2.7314356808900716e+38,7.96832773259336e-155,0.0,47,ok,demyelination_like__wm__inferior_longitudinal_fasciculus_right,secondary_composite,secondary_composite
0.1796242491182619,0.16532296919723943,2.7314356808900716e+38,3.799962720296222e-30,0.0,146,ok,demyelination_like__tbss__medial_lemniscus_left,secondary_composite,secondary_composite
0.2359354548186483,0.22261582545780634,2.7314356808900716e+38,1.2058978729290384e-32,0.0,44,ok,demyelination_like__wm__medial_lemniscus_left,secondary_composite,secondary_composite
