column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,reference,n,status,beta_AA_vs_GG,se_AA_vs_GG,p_AA_vs_GG,beta_AG_vs_GG,se_AG_vs_GG,p_AG_vs_GG,wald_df,wald_chi2,wald_p,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
SWI_T2star_T2star_median_t2star_in_putamen_right,25031.0,25031.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in putamen (right),basket,A,G,GG,32547,ok,-0.03633353168730874,0.015269468701627664,0.017342492134210224,-0.0055966599611722645,0.013564959293816922,0.6799155524617115,2,7.381187584160607,0.02495717826678992,0.02495717826678992,1.6028045188468731,102,10.0,True,False,False
SWI_T2star_T2star_median_t2star_in_thalamus_right,25027.0,25027.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in thalamus (right),basket,A,G,GG,32542,ok,-0.015210403075708598,0.015022622111102158,0.31130676408085206,-0.008957204124233141,0.013345109926295291,0.5020995826633055,2,1.0297228421573967,0.5975834013436176,0.5975834013436176,0.22360147411934525,102,87.0,False,False,False
SWI_T2star_T2star_median_t2star_in_thalamus_left,25026.0,25026.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in thalamus (left),basket,A,G,GG,32543,ok,-0.019522642619567886,0.014966341301010655,0.19209416642188532,0.003189153449397523,0.013295167303935955,0.8104301460170774,2,3.4093583963712466,0.1818307084411003,0.1818307084411003,0.740332769187276,102,41.0,False,False,False
WM_volume_raw,25008.0,25008.0,exploratory_structural,exploratory_structural,exploratory,exploratory,T1,WM_volume_raw,Volume of white matter,basket,A,G,GG,32568,ok,0.004792958897746056,0.0064274718755041906,0.4558547819087416,0.007298112606168066,0.005709530875393348,0.20117643990695364,2,1.6357360255780202,0.44137165083474406,0.44137165083474406,0.3551955648794455,2,2.0,False,False,False
SWI_T2star_T2star_median_t2star_in_hippocampus_left,25034.0,25034.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in hippocampus (left),basket,A,G,GG,32540,ok,-0.006335332964358704,0.01385411834397391,0.6474665949427628,0.013199236226306215,0.01230741530504806,0.2835206296284462,2,3.118432483628588,0.21030083162441174,0.21030083162441174,0.6771590099138742,102,46.0,False,False,False
SWI_T2star_T2star_median_t2star_in_hippocampus_right,25035.0,25035.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in hippocampus (right),basket,A,G,GG,32540,ok,0.013565475511265714,0.013619323628546828,0.3192352357178182,0.01504592659315015,0.01209939375391344,0.21368269847516574,2,1.636121079579201,0.4412866830542218,0.4412866830542218,0.35527917829341915,102,68.0,False,False,False
SWI_T2star_T2star_median_t2star_in_accumbens_left,25038.0,25038.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in accumbens (left),basket,A,G,GG,32542,ok,0.01943704040530129,0.015030404799861577,0.19595765668627702,0.016975169815353783,0.013352246844821232,0.2036189794683903,2,2.0429645282379276,0.3600608391689468,0.3600608391689468,0.44362411066890595,102,63.0,False,False,False
SWI_T2star_T2star_median_t2star_in_amygdala_left,25036.0,25036.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in amygdala (left),basket,A,G,GG,32546,ok,0.009737099060027836,0.014307202052081485,0.4961464813937584,0.01872128414589373,0.012710199030506434,0.14077867616599313,2,2.245184042713552,0.3254351655482842,0.3254351655482842,0.48753552030386516,102,56.0,False,False,False
SWI_T2star_T2star_median_t2star_in_amygdala_right,25037.0,25037.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in amygdala (right),basket,A,G,GG,32546,ok,0.004922266471638999,0.01421248332018611,0.7290939831327563,0.015715432822439222,0.012626073889191515,0.21325819458684855,2,1.8208174645218984,0.40235973301614275,0.40235973301614275,0.39538548869746515,102,66.0,False,False,False
SWI_T2star_T2star_median_t2star_in_accumbens_right,25039.0,25039.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in accumbens (right),basket,A,G,GG,32547,ok,-0.007486562992060303,0.015260506050010138,0.6237239362914406,-0.013513592093176601,0.01355699713044817,0.31886994961071796,2,1.0155911375113167,0.6018207901602819,0.6018207901602819,0.2205328134455058,102,88.0,False,False,False
