tract,tract_query,metric,loading,pc,explained_variance_ratio
splenium of corpus callosum,splenium,FA_tbss,0.36867879221369587,PC2,0.3231865236639055
splenium of corpus callosum,splenium,MD_tbss,0.0967504747909243,PC2,0.3231865236639055
splenium of corpus callosum,splenium,MO_tbss,0.5311235535821179,PC2,0.3231865236639055
splenium of corpus callosum,splenium,L1_tbss,0.41044024471393065,PC2,0.3231865236639055
splenium of corpus callosum,splenium,L2_tbss,-0.3409694919822641,PC2,0.3231865236639055
splenium of corpus callosum,splenium,L3_tbss,-0.07072358017114734,PC2,0.3231865236639055
splenium of corpus callosum,splenium,ICVF_tbss,-0.04174247029467284,PC2,0.3231865236639055
splenium of corpus callosum,splenium,OD_tbss,-0.5302219679185776,PC2,0.3231865236639055
splenium of corpus callosum,splenium,ISOVF_tbss,0.004699128050470899,PC2,0.3231865236639055
anterior limb of internal capsule (left),internal capsule,FA_tbss,-0.33487554818887544,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,MD_tbss,0.44569445068157465,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,MO_tbss,0.08785969239445597,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,L1_tbss,0.3497707317603153,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,L2_tbss,0.39986759260783183,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,L3_tbss,0.43495876688106627,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,ICVF_tbss,-0.3024836368683265,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,OD_tbss,-0.058896832064365544,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,ISOVF_tbss,0.339274999975044,PC1,0.5450365501692334
anterior limb of internal capsule (left),internal capsule,FA_tbss,-0.4086442542181293,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,MD_tbss,-0.06468173588975121,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,MO_tbss,-0.5323032317144369,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,L1_tbss,-0.38675561373492645,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,L2_tbss,0.24959022436605158,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,L3_tbss,0.05667519543196509,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,ICVF_tbss,0.0719019407656403,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,OD_tbss,0.5700997875337809,PC2,0.22783993014936524
anterior limb of internal capsule (left),internal capsule,ISOVF_tbss,0.01443941063232042,PC2,0.22783993014936524
anterior limb of internal capsule (right),internal capsule,FA_tbss,-0.3383858273167991,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,MD_tbss,0.4500253854604367,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,MO_tbss,0.07492038759732023,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,L1_tbss,0.3416805539952498,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,L2_tbss,0.39623407486369505,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,L3_tbss,0.43873040975431876,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,ICVF_tbss,-0.2963732542592533,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,OD_tbss,-0.03102664952287607,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,ISOVF_tbss,0.3497541215038951,PC1,0.5320452286026255
anterior limb of internal capsule (right),internal capsule,FA_tbss,-0.40114418588101486,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,MD_tbss,-0.07957715404327748,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,MO_tbss,-0.5366672616044345,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,L1_tbss,-0.40272890158725544,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,L2_tbss,0.26696769035888873,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,L3_tbss,0.028763817118383318,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,ICVF_tbss,0.08959877806269123,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,OD_tbss,0.5498573508206805,PC2,0.23887861370339877
anterior limb of internal capsule (right),internal capsule,ISOVF_tbss,0.0088514791931557,PC2,0.23887861370339877
posterior limb of internal capsule (left),internal capsule,FA_tbss,-0.48905366199796885,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,MD_tbss,0.28940790046801246,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,MO_tbss,-0.2897306731727285,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,L1_tbss,-0.10718029359887471,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,L2_tbss,0.49263953565665725,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,L3_tbss,0.3907039243388332,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,ICVF_tbss,-0.1231379493238255,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,OD_tbss,0.27490484229799056,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,ISOVF_tbss,0.3091265259593201,PC1,0.416760499240886
posterior limb of internal capsule (left),internal capsule,FA_tbss,0.09015783535007359,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,MD_tbss,0.4352198844671289,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,MO_tbss,0.3953985454131724,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,L1_tbss,0.5019413856787698,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,L2_tbss,-0.036291241913974696,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,L3_tbss,0.2919665011885201,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,ICVF_tbss,-0.293682361615139,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,OD_tbss,-0.41535140546223015,PC2,0.3807270147589918
posterior limb of internal capsule (left),internal capsule,ISOVF_tbss,0.22100325997190826,PC2,0.3807270147589918
posterior limb of internal capsule (right),internal capsule,FA_tbss,-0.4531404320147435,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,MD_tbss,0.38452406775106873,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,MO_tbss,-0.17633403562918415,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,L1_tbss,0.024856972288506064,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,L2_tbss,0.4750184466989971,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,L3_tbss,0.4534775852450727,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,ICVF_tbss,-0.17200131094013588,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,OD_tbss,0.17400211623773382,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,ISOVF_tbss,0.3520622055215139,PC1,0.42515768781237295
posterior limb of internal capsule (right),internal capsule,FA_tbss,0.20366554716752233,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,MD_tbss,0.3468687348878147,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,MO_tbss,0.4657028848462684,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,L1_tbss,0.5198567155812479,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,L2_tbss,-0.13483161253750617,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,L3_tbss,0.17975124033378123,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,ICVF_tbss,-0.23405134035489397,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,OD_tbss,-0.4727047726133711,PC2,0.37448957379683206
posterior limb of internal capsule (right),internal capsule,ISOVF_tbss,0.14950698930432674,PC2,0.37448957379683206
retrolenticular part of internal capsule (left),internal capsule,FA_tbss,-0.37410750316638247,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,MD_tbss,0.45685274455641767,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,MO_tbss,-0.03542720120000746,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,L1_tbss,0.2567188923349401,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,L2_tbss,0.4287768710097455,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,L3_tbss,0.46190724735794353,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,ICVF_tbss,-0.33355940565005004,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,OD_tbss,0.006414916768295315,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,ISOVF_tbss,0.2750609588252766,PC1,0.4907857732772181
retrolenticular part of internal capsule (left),internal capsule,FA_tbss,-0.32555375241928847,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,MD_tbss,-0.14707886120505906,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,MO_tbss,-0.5343365542661733,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,L1_tbss,-0.47099874480765525,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,L2_tbss,0.22842455085175334,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,L3_tbss,-0.015471251550663043,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,ICVF_tbss,0.09567785553462256,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,OD_tbss,0.548157420692416,PC2,0.31679621878132036
retrolenticular part of internal capsule (left),internal capsule,ISOVF_tbss,-0.054582479612730425,PC2,0.31679621878132036
retrolenticular part of internal capsule (right),internal capsule,FA_tbss,-0.362460242812691,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,MD_tbss,0.457256420854226,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,MO_tbss,-0.02036977238315647,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,L1_tbss,0.28971700491822483,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,L2_tbss,0.41809820848685414,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,L3_tbss,0.4553873390528991,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,ICVF_tbss,-0.3311731626156739,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,OD_tbss,-0.03188778447937084,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,ISOVF_tbss,0.28690073624261214,PC1,0.5038105786893753
retrolenticular part of internal capsule (right),internal capsule,FA_tbss,-0.3378778135905109,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,MD_tbss,-0.1154705709428197,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,MO_tbss,-0.5425099253885108,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,L1_tbss,-0.43974213154293035,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,L2_tbss,0.24526458369608203,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,L3_tbss,-0.006738368185369595,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,ICVF_tbss,0.11393758422602865,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,OD_tbss,0.5581594870421043,PC2,0.3148237590684021
retrolenticular part of internal capsule (right),internal capsule,ISOVF_tbss,0.00954260104403655,PC2,0.3148237590684021
corticospinal tract (left),corticospinal,FA_tbss,-0.21911012228671886,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,MD_tbss,0.3494352161535178,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,MO_tbss,0.029759249808055638,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,L1_tbss,0.28168737486664996,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,L2_tbss,0.3338817958639324,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,L3_tbss,0.34718150534131736,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,ICVF_tbss,-0.09972841477553629,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,OD_tbss,0.0408571411698709,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,ISOVF_tbss,0.31259877511816075,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,FA_wm,-0.1453503175004217,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,MD_wm,0.28295255133988256,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,MO_wm,-0.026128929252300523,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,L1_wm,0.15742624131708213,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,L2_wm,0.3018743226516167,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,L3_wm,0.3101257539559543,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,ICVF_wm,-0.08001848842567773,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,OD_wm,0.11730067664967082,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,ISOVF_wm,0.2723677386714935,PC1,0.36153907430884835
corticospinal tract (left),corticospinal,FA_tbss,0.29657248360012245,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,MD_tbss,0.025044444698015367,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,MO_tbss,0.3315291563540443,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,L1_tbss,0.1882711464515845,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,L2_tbss,-0.14287637441246107,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,L3_tbss,-0.05500442940681916,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,ICVF_tbss,0.04377156767669686,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,OD_tbss,-0.37588448087162474,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,ISOVF_tbss,0.013485064406214083,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,FA_wm,0.3485971906519509,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,MD_wm,0.2168386897194861,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,MO_wm,0.3921958575701558,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,L1_wm,0.3882105139545638,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,L2_wm,-0.010204424957882726,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,L3_wm,0.052234543888876266,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,ICVF_wm,0.17203995433757382,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,OD_wm,-0.25782170881392086,PC2,0.22495859334340843
corticospinal tract (left),corticospinal,ISOVF_wm,0.1651286654865923,PC2,0.22495859334340843
corticospinal tract (right),corticospinal,FA_tbss,-0.26689850091555806,PC1,0.35971176336378197
corticospinal tract (right),corticospinal,MD_tbss,0.3426752389100419,PC1,0.35971176336378197
corticospinal tract (right),corticospinal,MO_tbss,-0.05031813156397514,PC1,0.35971176336378197
corticospinal tract (right),corticospinal,L1_tbss,0.2539482981227622,PC1,0.35971176336378197
corticospinal tract (right),corticospinal,L2_tbss,0.34937812776003463,PC1,0.35971176336378197
corticospinal tract (right),corticospinal,L3_tbss,0.3508687307827899,PC1,0.35971176336378197
