column_name,family,panel,modality,metric,region,tier_source,include
dMRI_TBSS_MD_cingulum_cingulate_gyrus_right,exploratory,primary,dMRI_TBSS,MD,cingulum cingulate gyrus (right),basket,True
dMRI_TBSS_MD_cingulum_cingulate_gyrus_left,exploratory,primary,dMRI_TBSS,MD,cingulum cingulate gyrus (left),basket,True
dMRI_TBSS_MD_cingulum_hippocampus_right,exploratory,primary,dMRI_TBSS,MD,cingulum hippocampus (right),basket,True
dMRI_TBSS_MD_cingulum_hippocampus_left,exploratory,primary,dMRI_TBSS,MD,cingulum hippocampus (left),basket,True
dMRI_TBSS_MD_fornix_cres_stria_terminalis_right,exploratory,primary,dMRI_TBSS,MD,fornix cres+stria terminalis (right),basket,True
dMRI_TBSS_MD_fornix_cres_stria_terminalis_left,exploratory,primary,dMRI_TBSS,MD,fornix cres+stria terminalis (left),basket,True
dMRI_TBSS_MD_superior_longitudinal_fasciculus_right,exploratory,primary,dMRI_TBSS,MD,superior longitudinal fasciculus (right),basket,True
dMRI_TBSS_MD_superior_longitudinal_fasciculus_left,exploratory,primary,dMRI_TBSS,MD,superior longitudinal fasciculus (left),basket,True
dMRI_TBSS_MD_superior_fronto_occipital_fasciculus_rig,exploratory,primary,dMRI_TBSS,MD,superior fronto-occipital fasciculus (right),basket,True
dMRI_TBSS_MD_superior_fronto_occipital_fasciculus_lef,exploratory,primary,dMRI_TBSS,MD,superior fronto-occipital fasciculus (left),basket,True
dMRI_TBSS_MD_uncinate_fasciculus_right,exploratory,primary,dMRI_TBSS,MD,uncinate fasciculus (right),basket,True
dMRI_TBSS_MD_uncinate_fasciculus_left,exploratory,primary,dMRI_TBSS,MD,uncinate fasciculus (left),basket,True
dMRI_TBSS_MD_tapetum_right,exploratory,primary,dMRI_TBSS,MD,tapetum (right),basket,True
dMRI_TBSS_MD_tapetum_left,exploratory,primary,dMRI_TBSS,MD,tapetum (left),basket,True
dMRI_TBSS_MO_middle_cerebellar_peduncle,exploratory,exploratory,dMRI_TBSS,MO,middle cerebellar peduncle,basket,False
dMRI_TBSS_MO_pontine_crossing_tract,exploratory,exploratory,dMRI_TBSS,MO,pontine crossing tract,basket,False
dMRI_TBSS_MO_genu_of_corpus_callosum,exploratory,exploratory,dMRI_TBSS,MO,genu of corpus callosum,basket,False
dMRI_TBSS_MO_body_of_corpus_callosum,exploratory,exploratory,dMRI_TBSS,MO,body of corpus callosum,basket,False
dMRI_TBSS_MO_splenium_of_corpus_callosum,exploratory,exploratory,dMRI_TBSS,MO,splenium of corpus callosum,basket,False
dMRI_TBSS_MO_fornix,exploratory,exploratory,dMRI_TBSS,MO,fornix,basket,False
dMRI_TBSS_MO_corticospinal_tract_right,exploratory,exploratory,dMRI_TBSS,MO,corticospinal tract (right),basket,False
dMRI_TBSS_MO_corticospinal_tract_left,exploratory,exploratory,dMRI_TBSS,MO,corticospinal tract (left),basket,False
dMRI_TBSS_MO_medial_lemniscus_right,exploratory,exploratory,dMRI_TBSS,MO,medial lemniscus (right),basket,False
dMRI_TBSS_MO_medial_lemniscus_left,exploratory,exploratory,dMRI_TBSS,MO,medial lemniscus (left),basket,False
dMRI_TBSS_MO_inferior_cerebellar_peduncle_right,exploratory,exploratory,dMRI_TBSS,MO,inferior cerebellar peduncle (right),basket,False
dMRI_TBSS_MO_inferior_cerebellar_peduncle_left,exploratory,exploratory,dMRI_TBSS,MO,inferior cerebellar peduncle (left),basket,False
dMRI_TBSS_MO_superior_cerebellar_peduncle_right,exploratory,exploratory,dMRI_TBSS,MO,superior cerebellar peduncle (right),basket,False
dMRI_TBSS_MO_superior_cerebellar_peduncle_left,exploratory,exploratory,dMRI_TBSS,MO,superior cerebellar peduncle (left),basket,False
dMRI_TBSS_MO_cerebral_peduncle_right,exploratory,exploratory,dMRI_TBSS,MO,cerebral peduncle (right),basket,False
dMRI_TBSS_MO_cerebral_peduncle_left,exploratory,exploratory,dMRI_TBSS,MO,cerebral peduncle (left),basket,False
dMRI_TBSS_MO_anterior_limb_of_internal_capsule_right,exploratory,exploratory,dMRI_TBSS,MO,anterior limb of internal capsule (right),basket,False
dMRI_TBSS_MO_anterior_limb_of_internal_capsule_left,exploratory,exploratory,dMRI_TBSS,MO,anterior limb of internal capsule (left),basket,False
dMRI_TBSS_MO_posterior_limb_of_internal_capsule_right,exploratory,exploratory,dMRI_TBSS,MO,posterior limb of internal capsule (right),basket,False
dMRI_TBSS_MO_posterior_limb_of_internal_capsule_left,exploratory,exploratory,dMRI_TBSS,MO,posterior limb of internal capsule (left),basket,False
dMRI_TBSS_MO_retrolenticular_part_of_internal_capsule_f25172,exploratory,exploratory,dMRI_TBSS,MO,retrolenticular part of internal capsule (right),basket,False
dMRI_TBSS_MO_retrolenticular_part_of_internal_capsule_f25173,exploratory,exploratory,dMRI_TBSS,MO,retrolenticular part of internal capsule (left),basket,False
dMRI_TBSS_MO_anterior_corona_radiata_right,exploratory,exploratory,dMRI_TBSS,MO,anterior corona radiata (right),basket,False
dMRI_TBSS_MO_anterior_corona_radiata_left,exploratory,exploratory,dMRI_TBSS,MO,anterior corona radiata (left),basket,False
dMRI_TBSS_MO_superior_corona_radiata_right,exploratory,exploratory,dMRI_TBSS,MO,superior corona radiata (right),basket,False
dMRI_TBSS_MO_superior_corona_radiata_left,exploratory,exploratory,dMRI_TBSS,MO,superior corona radiata (left),basket,False
dMRI_TBSS_MO_posterior_corona_radiata_right,exploratory,exploratory,dMRI_TBSS,MO,posterior corona radiata (right),basket,False
dMRI_TBSS_MO_posterior_corona_radiata_left,exploratory,exploratory,dMRI_TBSS,MO,posterior corona radiata (left),basket,False
dMRI_TBSS_MO_posterior_thalamic_radiation_right,exploratory,exploratory,dMRI_TBSS,MO,posterior thalamic radiation (right),basket,False
dMRI_TBSS_MO_posterior_thalamic_radiation_left,exploratory,exploratory,dMRI_TBSS,MO,posterior thalamic radiation (left),basket,False
dMRI_TBSS_MO_sagittal_stratum_right,exploratory,exploratory,dMRI_TBSS,MO,sagittal stratum (right),basket,False
dMRI_TBSS_MO_sagittal_stratum_left,exploratory,exploratory,dMRI_TBSS,MO,sagittal stratum (left),basket,False
dMRI_TBSS_MO_external_capsule_right,exploratory,exploratory,dMRI_TBSS,MO,external capsule (right),basket,False
dMRI_TBSS_MO_external_capsule_left,exploratory,exploratory,dMRI_TBSS,MO,external capsule (left),basket,False
dMRI_TBSS_MO_cingulum_cingulate_gyrus_right,exploratory,exploratory,dMRI_TBSS,MO,cingulum cingulate gyrus (right),basket,False
dMRI_TBSS_MO_cingulum_cingulate_gyrus_left,exploratory,exploratory,dMRI_TBSS,MO,cingulum cingulate gyrus (left),basket,False
dMRI_TBSS_MO_cingulum_hippocampus_right,exploratory,exploratory,dMRI_TBSS,MO,cingulum hippocampus (right),basket,False
dMRI_TBSS_MO_cingulum_hippocampus_left,exploratory,exploratory,dMRI_TBSS,MO,cingulum hippocampus (left),basket,False
dMRI_TBSS_MO_fornix_cres_stria_terminalis_right,exploratory,exploratory,dMRI_TBSS,MO,fornix cres+stria terminalis (right),basket,False
dMRI_TBSS_MO_fornix_cres_stria_terminalis_left,exploratory,exploratory,dMRI_TBSS,MO,fornix cres+stria terminalis (left),basket,False
dMRI_TBSS_MO_superior_longitudinal_fasciculus_right,exploratory,exploratory,dMRI_TBSS,MO,superior longitudinal fasciculus (right),basket,False
dMRI_TBSS_MO_superior_longitudinal_fasciculus_left,exploratory,exploratory,dMRI_TBSS,MO,superior longitudinal fasciculus (left),basket,False
dMRI_TBSS_MO_superior_fronto_occipital_fasciculus_rig,exploratory,exploratory,dMRI_TBSS,MO,superior fronto-occipital fasciculus (right),basket,False
dMRI_TBSS_MO_superior_fronto_occipital_fasciculus_lef,exploratory,exploratory,dMRI_TBSS,MO,superior fronto-occipital fasciculus (left),basket,False
dMRI_TBSS_MO_uncinate_fasciculus_right,exploratory,exploratory,dMRI_TBSS,MO,uncinate fasciculus (right),basket,False
dMRI_TBSS_MO_uncinate_fasciculus_left,exploratory,exploratory,dMRI_TBSS,MO,uncinate fasciculus (left),basket,False
dMRI_TBSS_MO_tapetum_right,exploratory,exploratory,dMRI_TBSS,MO,tapetum (right),basket,False
dMRI_TBSS_MO_tapetum_left,exploratory,exploratory,dMRI_TBSS,MO,tapetum (left),basket,False
dMRI_TBSS_L1_middle_cerebellar_peduncle,exploratory,primary,dMRI_TBSS,L1,middle cerebellar peduncle,basket,True
dMRI_TBSS_L1_pontine_crossing_tract,exploratory,primary,dMRI_TBSS,L1,pontine crossing tract,basket,True
dMRI_TBSS_L1_genu_of_corpus_callosum,exploratory,primary,dMRI_TBSS,L1,genu of corpus callosum,basket,True
dMRI_TBSS_L1_body_of_corpus_callosum,exploratory,primary,dMRI_TBSS,L1,body of corpus callosum,basket,True
dMRI_TBSS_L1_splenium_of_corpus_callosum,exploratory,primary,dMRI_TBSS,L1,splenium of corpus callosum,basket,True
dMRI_TBSS_L1_fornix,exploratory,primary,dMRI_TBSS,L1,fornix,basket,True
dMRI_TBSS_L1_corticospinal_tract_right,exploratory,primary,dMRI_TBSS,L1,corticospinal tract (right),basket,True
dMRI_TBSS_L1_corticospinal_tract_left,exploratory,primary,dMRI_TBSS,L1,corticospinal tract (left),basket,True
dMRI_TBSS_L1_medial_lemniscus_right,exploratory,primary,dMRI_TBSS,L1,medial lemniscus (right),basket,True
dMRI_TBSS_L1_medial_lemniscus_left,exploratory,primary,dMRI_TBSS,L1,medial lemniscus (left),basket,True
dMRI_TBSS_L1_inferior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,L1,inferior cerebellar peduncle (right),basket,True
dMRI_TBSS_L1_inferior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,L1,inferior cerebellar peduncle (left),basket,True
dMRI_TBSS_L1_superior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,L1,superior cerebellar peduncle (right),basket,True
dMRI_TBSS_L1_superior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,L1,superior cerebellar peduncle (left),basket,True
dMRI_TBSS_L1_cerebral_peduncle_right,exploratory,primary,dMRI_TBSS,L1,cerebral peduncle (right),basket,True
dMRI_TBSS_L1_cerebral_peduncle_left,exploratory,primary,dMRI_TBSS,L1,cerebral peduncle (left),basket,True
dMRI_TBSS_L1_anterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,L1,anterior limb of internal capsule (right),basket,True
dMRI_TBSS_L1_anterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,L1,anterior limb of internal capsule (left),basket,True
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,L1,posterior limb of internal capsule (right),basket,True
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),basket,True
dMRI_TBSS_L1_retrolenticular_part_of_internal_capsule_f25220,exploratory,primary,dMRI_TBSS,L1,retrolenticular part of internal capsule (right),basket,True
dMRI_TBSS_L1_retrolenticular_part_of_internal_capsule_f25221,exploratory,primary,dMRI_TBSS,L1,retrolenticular part of internal capsule (left),basket,True
dMRI_TBSS_L1_anterior_corona_radiata_right,exploratory,primary,dMRI_TBSS,L1,anterior corona radiata (right),basket,True
dMRI_TBSS_L1_anterior_corona_radiata_left,exploratory,primary,dMRI_TBSS,L1,anterior corona radiata (left),basket,True
dMRI_TBSS_L1_superior_corona_radiata_right,exploratory,primary,dMRI_TBSS,L1,superior corona radiata (right),basket,True
dMRI_TBSS_L1_superior_corona_radiata_left,exploratory,primary,dMRI_TBSS,L1,superior corona radiata (left),basket,True
dMRI_TBSS_L1_posterior_corona_radiata_right,exploratory,primary,dMRI_TBSS,L1,posterior corona radiata (right),basket,True
dMRI_TBSS_L1_posterior_corona_radiata_left,exploratory,primary,dMRI_TBSS,L1,posterior corona radiata (left),basket,True
dMRI_TBSS_L1_posterior_thalamic_radiation_right,exploratory,primary,dMRI_TBSS,L1,posterior thalamic radiation (right),basket,True
dMRI_TBSS_L1_posterior_thalamic_radiation_left,exploratory,primary,dMRI_TBSS,L1,posterior thalamic radiation (left),basket,True
dMRI_TBSS_L1_sagittal_stratum_right,exploratory,primary,dMRI_TBSS,L1,sagittal stratum (right),basket,True
dMRI_TBSS_L1_sagittal_stratum_left,exploratory,primary,dMRI_TBSS,L1,sagittal stratum (left),basket,True
dMRI_TBSS_L1_external_capsule_right,exploratory,primary,dMRI_TBSS,L1,external capsule (right),basket,True
dMRI_TBSS_L1_external_capsule_left,exploratory,primary,dMRI_TBSS,L1,external capsule (left),basket,True
dMRI_TBSS_L1_cingulum_cingulate_gyrus_right,exploratory,primary,dMRI_TBSS,L1,cingulum cingulate gyrus (right),basket,True
dMRI_TBSS_L1_cingulum_cingulate_gyrus_left,exploratory,primary,dMRI_TBSS,L1,cingulum cingulate gyrus (left),basket,True
dMRI_TBSS_L1_cingulum_hippocampus_right,exploratory,primary,dMRI_TBSS,L1,cingulum hippocampus (right),basket,True
dMRI_TBSS_L1_cingulum_hippocampus_left,exploratory,primary,dMRI_TBSS,L1,cingulum hippocampus (left),basket,True
dMRI_TBSS_L1_fornix_cres_stria_terminalis_right,exploratory,primary,dMRI_TBSS,L1,fornix cres+stria terminalis (right),basket,True
dMRI_TBSS_L1_fornix_cres_stria_terminalis_left,exploratory,primary,dMRI_TBSS,L1,fornix cres+stria terminalis (left),basket,True
dMRI_TBSS_L1_superior_longitudinal_fasciculus_right,exploratory,primary,dMRI_TBSS,L1,superior longitudinal fasciculus (right),basket,True
dMRI_TBSS_L1_superior_longitudinal_fasciculus_left,exploratory,primary,dMRI_TBSS,L1,superior longitudinal fasciculus (left),basket,True
dMRI_TBSS_L1_superior_fronto_occipital_fasciculus_rig,exploratory,primary,dMRI_TBSS,L1,superior fronto-occipital fasciculus (right),basket,True
dMRI_TBSS_L1_superior_fronto_occipital_fasciculus_lef,exploratory,primary,dMRI_TBSS,L1,superior fronto-occipital fasciculus (left),basket,True
dMRI_TBSS_L1_uncinate_fasciculus_right,exploratory,primary,dMRI_TBSS,L1,uncinate fasciculus (right),basket,True
dMRI_TBSS_L1_uncinate_fasciculus_left,exploratory,primary,dMRI_TBSS,L1,uncinate fasciculus (left),basket,True
dMRI_TBSS_L1_tapetum_right,exploratory,primary,dMRI_TBSS,L1,tapetum (right),basket,True
dMRI_TBSS_L1_tapetum_left,exploratory,primary,dMRI_TBSS,L1,tapetum (left),basket,True
dMRI_TBSS_L2_middle_cerebellar_peduncle,exploratory,primary,dMRI_TBSS,L2,middle cerebellar peduncle,basket,True
dMRI_TBSS_L2_pontine_crossing_tract,exploratory,primary,dMRI_TBSS,L2,pontine crossing tract,basket,True
dMRI_TBSS_L2_genu_of_corpus_callosum,exploratory,primary,dMRI_TBSS,L2,genu of corpus callosum,basket,True
dMRI_TBSS_L2_body_of_corpus_callosum,exploratory,primary,dMRI_TBSS,L2,body of corpus callosum,basket,True
dMRI_TBSS_L2_splenium_of_corpus_callosum,exploratory,primary,dMRI_TBSS,L2,splenium of corpus callosum,basket,True
dMRI_TBSS_L2_fornix,exploratory,primary,dMRI_TBSS,L2,fornix,basket,True
dMRI_TBSS_L2_corticospinal_tract_right,exploratory,primary,dMRI_TBSS,L2,corticospinal tract (right),basket,True
dMRI_TBSS_L2_corticospinal_tract_left,exploratory,primary,dMRI_TBSS,L2,corticospinal tract (left),basket,True
dMRI_TBSS_L2_medial_lemniscus_right,exploratory,primary,dMRI_TBSS,L2,medial lemniscus (right),basket,True
dMRI_TBSS_L2_medial_lemniscus_left,exploratory,primary,dMRI_TBSS,L2,medial lemniscus (left),basket,True
dMRI_TBSS_L2_inferior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,L2,inferior cerebellar peduncle (right),basket,True
dMRI_TBSS_L2_inferior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,L2,inferior cerebellar peduncle (left),basket,True
dMRI_TBSS_L2_superior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,L2,superior cerebellar peduncle (right),basket,True
dMRI_TBSS_L2_superior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,L2,superior cerebellar peduncle (left),basket,True
dMRI_TBSS_L2_cerebral_peduncle_right,exploratory,primary,dMRI_TBSS,L2,cerebral peduncle (right),basket,True
dMRI_TBSS_L2_cerebral_peduncle_left,exploratory,primary,dMRI_TBSS,L2,cerebral peduncle (left),basket,True
dMRI_TBSS_L2_anterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,L2,anterior limb of internal capsule (right),basket,True
dMRI_TBSS_L2_anterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,L2,anterior limb of internal capsule (left),basket,True
dMRI_TBSS_L2_posterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,L2,posterior limb of internal capsule (right),basket,True
dMRI_TBSS_L2_posterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,L2,posterior limb of internal capsule (left),basket,True
